comment,likes,my_polarity
"В Польшу уехали не от хорошей жизни.Я сам убежал,уехал,скрылся-как угодно можно назвать,чтобы не сесть в тюрьму,потому что свобода для меня многое значит...здесь,в Польше,не все беларусы нормальные...многие привезли совок с собой...проблемы остались у всех,но некоторые все равно пытаются свалить их решение на других людей...все люди-разные...",7.0,-1.0
"Здравствуйте, Светлана! Честно говоря, мы до лета прошлого года и сами не знали, какими мы можем быть:)) Мне, как беларуске, кажется, что эта наша общая беда, которая сейчас происходит в Беларуси, нас очень сплотила. Эта ситуация, словно лакмусовая бумажка, показала не только уродливое лицо власти, но дух беларуского народа. Но вы не забывайте, что и у власти в Беларуси, тоже ведь беларусы сидят:( а значит, всё зависит от людей! Сколько живу в Польше, могу сказать, что встречала украинцев с которыми замечательно общалась и которые очень мне помогли. Да и вообще, мне кажется, человек человеку брат и друг, было бы сердце и совесть, и ""национальные особенности"" тут могут не сыграть вообще никакой роли (если такие ""особенности"" вообще существует:)) . А я лично в восторге от вашей инициативы! Спасибо большое!!!",3.0,1.0
"люди разные в разных странах, и не зависит от национальности - просто каждый выбирает свой путь. С удовольствием купила бы у вас орешков, если бы была в варшаве. Не соглашусь, с комментариями выше, что беларусы затоптали бы кого-то, но мимо прошло бы большинство, так как позиция ""мояхатаскраю"" это огромный минус процента 70 беларусов. Поэтому те, кто остается в Беларуси и ушел в подполье, ждут санкций, в надежде что финансовый кризис расшевелит это болото и люди будут вынуждены выйти на забастовку и протест.",3.0,-1.0
"Светлана, ты молодец 👍💪💪",1.0,1.0
Приветствую. Автор высказался субъективно. Я много лет работаю плечом к плечу с украинцами. И не было такого. Чтоб не помогали. Везде есть ложка дегтя на бочку меда.,8.0,0.0
"Не надо о украинцах плохо думать. Прекрасный народ со своей культурoй и историей. Беларусам есть чему у них ещё поучиться. Ну и им, вероятно, у беларусов тоже есть что позаимствовать. Нет плохих народов, есть плохие люди и идеи с душком.
 Слава Укрине !!!
 Живе Беларусь !!!!
 Смерть диктаторам !!!!",31.0,1.0
"Вы запутались, женщина)) Среди жителей украины много прекрасных людей.))Надеюсь они вам встретятся однажды))",0.0,0.0
"Спасибо за такие слова. Среди наших тоже есть разные, просто многих сплотила общая беда.",0.0,1.0
"Я восхищаюсь смелостью украинцев - как вы повели себя на Майдане. Если бы мы готовы были сделать так же, в Беларуси сейчас все было бы по-другому.
 У моих соотечественников есть свои плюсы и минусы. Здесь в основном оказались те, кто не смог выдержать того, что в стране начались чудовищные пытки. Я до сих пор помню ужас после первых новостей и желание,чтобы это было неправдой(((
 Почти всем тем, кто не смог сдержать свое возмущение и пытался как-то противостоять этому кошмару, пришлось или бежать, или сесть в тюрьму(( а осталось в стране много таких людишек, которые это все одобряют и поощряют. Встреть вы их, у вас были бы другие эмоции(((
 Просто хочу, чтобы вы знали, что мы, беларусы, восхищаемся многими чертами ваших соотечественников. Среди украинцев много очень хороших людей.
 А негодяев в любой стране хватает((( просто белорусским красауцам и ябатькам приходится в большинстве своем сидеть дома.",10.0,1.0
"Не могу не сказать о украинцах..
Все,кто был 9 августа в Варшаве у бел.консульства в очереди на голосование,а это около 3т. Человек,вспомните!!!!
Жара невыносимая,духота,море людей.. Кто были те волонтёры с зонтами от солнца, с креслами, с упаковками воды и одноразовыми стаканчиками? Кто разносил мороженое и домашнюю еду?? Кто находил солнцезащитные крема? Кто нас поддерживал с машин,с хостела рядом? Кто просто психологически пришёл нас поддержать,обнимал и говорил,что верит в нас и нашу свободу???
Это были украинцы!!! Обычные люди,рабочие,студенты,которые не были знакомы между собой,но все действовали как одна команда. И это было восхитительно! И наполнило бесконечной благодарностью и уважением..",20.0,1.0
"Как интересно наблюдать с точки зрения психологии, автор высказал восхищение и личное мнение, построенное на своём жизненном опыте. И тут у каждого полез свой... Как белоруска с удовольствием принимаю вас в своё общество. Обнимаю за такие приятные слова. Благодарю за душевный порыв. Думаю, кому-то, действительно, он реально подсластит жизнь. Само объявление уже подсластило всем, кто его читал. Ведь вы наполовину украинка, с вас может начаться подобное движение и среди украинцев. Не вижу ничего такого, чтоб вы написали не так. Майдан Майданом, а Польша Польшей... И осколки в глазах у людей, как у Кая, через которые они видят всё по-своему.",19.0,1.0
Гнильца осталась дома. Лучшие уехали((( Хотя в Беларуси тоже еще осталось много хороших людей.,4.0,0.0
"Смотрите,друзья! Я написала свои мысли,свои эмоции на данное время.
 Почитайте,кто что пишет-----от сюда вывод,кто о чем пишет,то и беспокоит!!!
 Милые,я писала о другом!!!! Но,каждый из вас видит то,что хочет видеть!!! И даже это написав,все равно не работает(((Вообщем,буду рада помочь,чем могу,пишите в личку! С миру по нитке,голому-рубашка....говорила моя мама)",7.0,1.0
